run_id,group_type,metric,min_group,min_mean,max_group,max_mean,absolute_gap
mpdd_personality_severity_tfidf_logistic_phase3,age_group,Prediction Bias,elder,-0.296551724137931,young,0.16136363636363635,0.45791536050156734
mpdd_personality_shuffled_severity_tfidf_logistic,financial_stress_bin,Ordinal MAE,mild_or_low,0.5999999999999999,high_or_severe,1.057142857142857,0.4571428571428571
mpdd_personality_counterfactual_age_swap,true_severity,Calibration Gap,0,-0.030859993443092083,2,0.4210256366663504,0.4518856301094425
mpdd_personality_counterfactual_age_swap,true_severity,Accuracy,2,0.09523809523809523,0,0.5442307692307692,0.44899267399267395
mpdd_personality_counterfactual_age_swap,age_group,Prediction Bias,young,-0.1909090909090909,elder,0.25747126436781614,0.448380355276907
mpdd_personality_counterfactual_age_swap,personality_conscientiousness_bin,Prediction Bias,low,-0.23793103448275862,high,0.20384615384615387,0.4417771883289125
mpdd_demographics_age_severity_logistic,personality_agreeableness_bin,Prediction Bias,high,0.014285714285714285,mid,0.4521739130434782,0.4378881987577639
mpdd_avp_severity_early_fusion_phase3,financial_stress_bin,QWK,moderate,-0.2239412562854179,unknown,0.20960653744028787,0.43354779372570573
mpdd_avp_shuffled_personality_early_fusion,financial_stress_bin,QWK,moderate,-0.2239412562854179,unknown,0.20960653744028787,0.43354779372570573
mpdd_av_severity_early_fusion,personality_agreeableness_bin,Prediction Bias,high,-0.38571428571428573,mid,0.04782608695652174,0.4335403726708075
mpdd_avp_severity_early_fusion_phase3,personality_agreeableness_bin,Prediction Bias,high,-0.38571428571428573,mid,0.04782608695652174,0.4335403726708075
mpdd_avp_shuffled_personality_early_fusion,personality_agreeableness_bin,Prediction Bias,high,-0.38571428571428573,mid,0.04782608695652174,0.4335403726708075
mpdd_av_severity_early_fusion,financial_stress_bin,QWK,moderate,-0.2239412562854179,unknown,0.20739552804110328,0.43133678432652117
mpdd_personality_severity_tfidf_logistic_phase3,financial_stress_bin,Ordinal MAE,moderate,0.3714285714285714,high_or_severe,0.8,0.42857142857142866
mpdd_personality_shuffled_severity_tfidf_logistic,personality_neuroticism_bin,Prediction Bias,high,-0.1619047619047619,unknown,0.2558139534883721,0.417718715393134
mpdd_personality_shuffled_severity_tfidf_logistic,personality_extraversion_bin,Prediction Bias,low,-0.05600000000000001,high,0.36153846153846153,0.4175384615384615
mpdd_personality_severity_tfidf_logistic_phase3,financial_stress_bin,Macro-F1,mentioned_unclear,0.22222222222222224,moderate,0.6395959595959596,0.4173737373737374
mpdd_av_severity_early_fusion,personality_neuroticism_bin,QWK,low,-0.08809328659412255,mid,0.3235894839068611,0.4116827705009837
mpdd_personality_counterfactual_age_swap,personality_agreeableness_bin,Prediction Bias,low,-0.185,unknown,0.22622950819672133,0.4112295081967213
mpdd_personality_severity_tfidf_logistic_phase3,personality_extraversion_bin,Ordinal MAE,high,0.24615384615384617,low,0.656,0.40984615384615386
mpdd_avp_severity_early_fusion_phase3,personality_neuroticism_bin,QWK,low,-0.08275604178204184,mid,0.3235894839068611,0.4063455256889029
mpdd_avp_shuffled_personality_early_fusion,personality_neuroticism_bin,QWK,low,-0.08275604178204184,mid,0.3235894839068611,0.4063455256889029
mpdd_personality_severity_tfidf_logistic_phase3,personality_extraversion_bin,Accuracy,low,0.396,high,0.8,0.404
mpdd_personality_shuffled_severity_tfidf_logistic,true_severity,Accuracy,2,0.11428571428571428,0,0.5153846153846153,0.40109890109890106
mpdd_personality_shuffled_severity_tfidf_logistic,true_severity,Calibration Gap,0,-0.07908567479527409,2,0.3175252607310682,0.3966109355263423
mpdd_personality_shuffled_severity_tfidf_logistic,financial_stress_bin,QWK,high_or_severe,-0.19961461864765667,mild_or_low,0.1938271926829988,0.3934418113306555
mpdd_demographics_age_severity_logistic,personality_conscientiousness_bin,Prediction Bias,high,-0.05384615384615384,mid,0.3282051282051282,0.382051282051282
mpdd_personality_severity_tfidf_logistic_phase3,personality_neuroticism_bin,Ordinal MAE,unknown,0.37209302325581395,high,0.7523809523809525,0.38028792912513854
mpdd_personality_severity_tfidf_logistic_phase3,personality_conscientiousness_bin,QWK,unknown,0.031824087956022006,mid,0.4083117259972907,0.3764876380412687
mpdd_personality_severity_tfidf_logistic_phase3,personality_extraversion_bin,Calibration Gap,high,-0.31877242146527107,low,0.0542770080181512,0.3730494294834223
mpdd_personality_severity_tfidf_logistic_phase3,personality_extraversion_bin,QWK,unknown,0.12733980394908412,high,0.4984923432617355,0.3711525393126514
mpdd_demographics_age_severity_logistic,financial_stress_bin,Ordinal MAE,unknown,0.6063829787234043,high_or_severe,0.9714285714285715,0.36504559270516723
mpdd_personality_severity_tfidf_logistic_phase3,personality_neuroticism_bin,Prediction Bias,unknown,-0.30697674418604654,low,0.058064516129032254,0.3650412603150788
mpdd_avp_shuffled_personality_early_fusion,financial_stress_bin,Ordinal MAE,none,0.4862745098039216,mentioned_unclear,0.85,0.36372549019607836
mpdd_av_severity_early_fusion,personality_extraversion_bin,QWK,unknown,-0.07872904255441493,high,0.28242160064988686,0.3611506432043018
mpdd_avp_severity_early_fusion_phase3,personality_extraversion_bin,QWK,unknown,-0.07872904255441493,high,0.28242160064988686,0.3611506432043018
mpdd_av_severity_early_fusion,financial_stress_bin,Ordinal MAE,none,0.4901960784313726,mentioned_unclear,0.85,0.3598039215686274
mpdd_avp_severity_early_fusion_phase3,financial_stress_bin,Ordinal MAE,none,0.4901960784313726,mentioned_unclear,0.85,0.3598039215686274
