run_id,dataset,modality,task,model,seed,task_type,metric,value,ci95_low,ci95_high,sample_count
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,0,ordinal_prediction,ECE,0.4256588405716723,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,0,ordinal_prediction,Brier Score,0.8958014762137065,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,1,ordinal_prediction,QWK,0.10527831785122765,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,1,ordinal_prediction,Ordinal MAE,0.5942857142857143,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,1,ordinal_prediction,Macro-F1,0.3588252646442958,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,1,ordinal_prediction,ECE,0.438998417650373,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,1,ordinal_prediction,Brier Score,0.9255321027242475,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,2,ordinal_prediction,QWK,0.03657860705708471,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,2,ordinal_prediction,Ordinal MAE,0.6,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,2,ordinal_prediction,Macro-F1,0.3715330883472477,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,2,ordinal_prediction,ECE,0.4265744309590242,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,2,ordinal_prediction,Brier Score,0.8864820117236003,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,3,ordinal_prediction,QWK,-0.007677543186180413,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,3,ordinal_prediction,Ordinal MAE,0.6457142857142857,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,3,ordinal_prediction,Macro-F1,0.36716909559135535,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,3,ordinal_prediction,ECE,0.47017710801222684,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,3,ordinal_prediction,Brier Score,0.9599515262712014,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,4,ordinal_prediction,QWK,0.15434177771269586,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,4,ordinal_prediction,Ordinal MAE,0.5942857142857143,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,4,ordinal_prediction,Macro-F1,0.3713943355119826,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,4,ordinal_prediction,ECE,0.4703221752467183,,,175
mpdd_audio_severity_wavlm_mlp,MPDD-AVG-2026,Audio,ordinal severity prediction,WavLM frozen embedding + MLP,4,ordinal_prediction,Brier Score,0.9406346744652423,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,0,ordinal_prediction,QWK,0.14621525724423412,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,0,ordinal_prediction,Ordinal MAE,0.5485714285714286,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,0,ordinal_prediction,Macro-F1,0.42489825794173625,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,0,ordinal_prediction,ECE,0.2985301868982818,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,0,ordinal_prediction,Brier Score,0.7351338556946085,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,1,ordinal_prediction,QWK,0.023925837596645794,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,1,ordinal_prediction,Ordinal MAE,0.6114285714285714,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,1,ordinal_prediction,Macro-F1,0.3374103021161845,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,1,ordinal_prediction,ECE,0.37065035245948197,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,1,ordinal_prediction,Brier Score,0.8313540968779031,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,2,ordinal_prediction,QWK,0.0906116478694331,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,2,ordinal_prediction,Ordinal MAE,0.5771428571428572,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,2,ordinal_prediction,Macro-F1,0.39501182995011824,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,2,ordinal_prediction,ECE,0.3575047162533499,,,175
