run_id,dataset,modality,task,model,protocol_type,train_task,eval_task,task_type,metric,mean,std,ci95_low,ci95_high,seed_count,sample_count_mean
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,affective_task,interview,binary_classification,Macro-F1,0.6312056737588652,0.0,0.5018525051632012,0.7636363636363637,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,affective_task,picture_description,binary_classification,Macro-F1,0.45833333333333337,0.0,0.3035714285714286,0.5948051948051949,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,affective_task,reading,binary_classification,Macro-F1,0.5207373271889401,0.0,0.390625,0.634754565634144,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,interview,affective_task,binary_classification,Macro-F1,0.557528671846097,0.0,0.4404452690166975,0.6882139287499107,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,task_specific,interview,interview,binary_classification,Macro-F1,0.6006144393241168,0.0,0.45624696441769597,0.7204301075268817,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,interview,picture_description,binary_classification,Macro-F1,0.432015065913371,0.0,0.3064587706146926,0.5537425409783897,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,interview,reading,binary_classification,Macro-F1,0.543859649122807,0.0,0.4006908724530295,0.6458214497920381,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,picture_description,affective_task,binary_classification,Macro-F1,0.5357142857142858,0.0,0.3808363675305204,0.6700993752949215,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,picture_description,interview,binary_classification,Macro-F1,0.4871794871794871,0.0,0.3436174636174636,0.6067226890756303,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,task_specific,picture_description,picture_description,binary_classification,Macro-F1,0.6278719397363466,0.0,0.49325337331334335,0.7454430884278854,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,picture_description,reading,binary_classification,Macro-F1,0.4564459930313589,0.0,0.31437279307909605,0.5836828059473884,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,reading,affective_task,binary_classification,Macro-F1,0.6174990321331785,0.0,0.4755363707983193,0.7499397267257542,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,reading,interview,binary_classification,Macro-F1,0.5495291902071563,0.0,0.3928148538115652,0.6720094281280264,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,reading,picture_description,binary_classification,Macro-F1,0.5666666666666667,0.0,0.43176159827255345,0.702630575676706,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,task_specific,reading,reading,binary_classification,Macro-F1,0.634375,0.0,0.48701996927803376,0.7476670399402762,5,52.0
