seed,train_task,eval_task,metric,within_value,cross_value,drop,drop_ci95_low,drop_ci95_high
1,interview,reading,AUPRC,0.6110636744939814,0.6482444962835294,-0.03718082178954807,-0.1677731570258037,0.13092098925106557
2,interview,reading,AUPRC,0.6110636744939814,0.6482444962835294,-0.03718082178954807,-0.18166547484890505,0.1391079270338407
3,interview,reading,AUPRC,0.6110636744939814,0.6482444962835294,-0.03718082178954807,-0.1722710033362542,0.13026218967854986
4,interview,reading,AUPRC,0.6110636744939814,0.6482444962835294,-0.03718082178954807,-0.1729217861287584,0.1483338955068807
0,picture_description,reading,AUPRC,0.6110636744939814,0.57749714674227,0.03356652775171132,-0.1923481621212824,0.24513453568850865
1,picture_description,reading,AUPRC,0.6110636744939814,0.57749714674227,0.03356652775171132,-0.17849633655923636,0.2643615498635616
2,picture_description,reading,AUPRC,0.6110636744939814,0.57749714674227,0.03356652775171132,-0.1760959265275713,0.24295214951482993
3,picture_description,reading,AUPRC,0.6110636744939814,0.57749714674227,0.03356652775171132,-0.17705872282483143,0.22660326886754717
4,picture_description,reading,AUPRC,0.6110636744939814,0.57749714674227,0.03356652775171132,-0.16102121083408055,0.26761520531841365
0,interview,affective_task,AUROC,0.7781109445277361,0.6191904047976012,0.15892053973013487,0.026748790425261033,0.30971035543403963
1,interview,affective_task,AUROC,0.7781109445277361,0.6191904047976012,0.15892053973013487,0.026774042950513555,0.31271780303030305
2,interview,affective_task,AUROC,0.7781109445277361,0.6191904047976012,0.15892053973013487,0.0321956605222734,0.3046610845295056
3,interview,affective_task,AUROC,0.7781109445277361,0.6191904047976012,0.15892053973013487,0.020555555555555653,0.3094097222222222
4,interview,affective_task,AUROC,0.7781109445277361,0.6191904047976012,0.15892053973013487,0.01769218500797449,0.2955468750000001
0,picture_description,affective_task,AUROC,0.7781109445277361,0.6401799100449775,0.13793103448275856,-0.040090455840455876,0.3237039431157079
1,picture_description,affective_task,AUROC,0.7781109445277361,0.6401799100449775,0.13793103448275856,-0.038595670122887844,0.32814157196969695
2,picture_description,affective_task,AUROC,0.7781109445277361,0.6401799100449775,0.13793103448275856,-0.040210789758487096,0.3226253727297371
3,picture_description,affective_task,AUROC,0.7781109445277361,0.6401799100449775,0.13793103448275856,-0.036150760135135206,0.32050257034632046
4,picture_description,affective_task,AUROC,0.7781109445277361,0.6401799100449775,0.13793103448275856,-0.03411111111111107,0.30486142122984233
0,reading,affective_task,AUROC,0.7781109445277361,0.7076461769115442,0.07046476761619191,-0.0504747474747475,0.22388322505413966
1,reading,affective_task,AUROC,0.7781109445277361,0.7076461769115442,0.07046476761619191,-0.054946524064171026,0.19701756912442406
2,reading,affective_task,AUROC,0.7781109445277361,0.7076461769115442,0.07046476761619191,-0.08037220229171134,0.2159295352323838
3,reading,affective_task,AUROC,0.7781109445277361,0.7076461769115442,0.07046476761619191,-0.08484904100529092,0.20240419006183186
4,reading,affective_task,AUROC,0.7781109445277361,0.7076461769115442,0.07046476761619191,-0.055625960061443956,0.23446409278327784
0,affective_task,interview,AUROC,0.6131934032983508,0.6341829085457271,-0.020989505247376306,-0.19212269585253447,0.1272378663003663
1,affective_task,interview,AUROC,0.6131934032983508,0.6341829085457271,-0.020989505247376306,-0.16286687147977472,0.13612980769230762
2,affective_task,interview,AUROC,0.6131934032983508,0.6341829085457271,-0.020989505247376306,-0.16530257936507944,0.10689030657451715
3,affective_task,interview,AUROC,0.6131934032983508,0.6341829085457271,-0.020989505247376306,-0.18090972222222224,0.16195652173913047
4,affective_task,interview,AUROC,0.6131934032983508,0.6341829085457271,-0.020989505247376306,-0.1878724700149925,0.1363168402777779
0,picture_description,interview,AUROC,0.6131934032983508,0.6821589205397302,-0.06896551724137934,-0.22969267574530736,0.10310606060606062
1,picture_description,interview,AUROC,0.6131934032983508,0.6821589205397302,-0.06896551724137934,-0.2322626201923077,0.11645089285714297
2,picture_description,interview,AUROC,0.6131934032983508,0.6821589205397302,-0.06896551724137934,-0.23694038148389918,0.07048252189694633
3,picture_description,interview,AUROC,0.6131934032983508,0.6821589205397302,-0.06896551724137934,-0.26250230414746545,0.08007407407407405
4,picture_description,interview,AUROC,0.6131934032983508,0.6821589205397302,-0.06896551724137934,-0.3103842645929339,0.09100673400673406
0,reading,interview,AUROC,0.6131934032983508,0.5592203898050975,0.05397301349325334,-0.12469804870292124,0.25597302916381864
1,reading,interview,AUROC,0.6131934032983508,0.5592203898050975,0.05397301349325334,-0.13616869212962968,0.21194618055555559
2,reading,interview,AUROC,0.6131934032983508,0.5592203898050975,0.05397301349325334,-0.1389977260173741,0.2101025659045477
3,reading,interview,AUROC,0.6131934032983508,0.5592203898050975,0.05397301349325334,-0.13355569868727765,0.222017504761133
4,reading,interview,AUROC,0.6131934032983508,0.5592203898050975,0.05397301349325334,-0.11543243243243247,0.2297690664036818
0,affective_task,picture_description,AUROC,0.7136431784107946,0.5397301349325337,0.17391304347826086,0.011074561403508758,0.3214781144781145
1,affective_task,picture_description,AUROC,0.7136431784107946,0.5397301349325337,0.17391304347826086,0.03543586789554531,0.30948918269230785
2,affective_task,picture_description,AUROC,0.7136431784107946,0.5397301349325337,0.17391304347826086,0.027256589564281824,0.3106162067099567
3,affective_task,picture_description,AUROC,0.7136431784107946,0.5397301349325337,0.17391304347826086,0.011033976987924451,0.3182272727272727
4,affective_task,picture_description,AUROC,0.7136431784107946,0.5397301349325337,0.17391304347826086,0.0310613425925926,0.34856531989644973
0,interview,picture_description,AUROC,0.7136431784107946,0.5067466266866567,0.2068965517241379,0.05250626566416045,0.37659871031746034
1,interview,picture_description,AUROC,0.7136431784107946,0.5067466266866567,0.2068965517241379,0.03660597572362277,0.39171455679045813
2,interview,picture_description,AUROC,0.7136431784107946,0.5067466266866567,0.2068965517241379,0.03842691798941807,0.37317471590909107
3,interview,picture_description,AUROC,0.7136431784107946,0.5067466266866567,0.2068965517241379,0.029661796536796545,0.4168290854572713
4,interview,picture_description,AUROC,0.7136431784107946,0.5067466266866567,0.2068965517241379,0.03581520629084969,0.38944900687547745
0,reading,picture_description,AUROC,0.7136431784107946,0.5142428785607196,0.199400299850075,0.016222222222222183,0.39627976190476205
1,reading,picture_description,AUROC,0.7136431784107946,0.5142428785607196,0.199400299850075,0.030902048319327736,0.35989483173076936
2,reading,picture_description,AUROC,0.7136431784107946,0.5142428785607196,0.199400299850075,0.036617402091086236,0.3511789105447277
3,reading,picture_description,AUROC,0.7136431784107946,0.5142428785607196,0.199400299850075,0.022073211875843404,0.3416796875
4,reading,picture_description,AUROC,0.7136431784107946,0.5142428785607196,0.199400299850075,0.03212627557189156,0.3668351898923445
0,affective_task,reading,AUROC,0.631184407796102,0.5967016491754122,0.034482758620689724,-0.1310992138791,0.19051188691368612
1,affective_task,reading,AUROC,0.631184407796102,0.5967016491754122,0.034482758620689724,-0.15322966507177035,0.1976296296296298
2,affective_task,reading,AUROC,0.631184407796102,0.5967016491754122,0.034482758620689724,-0.11532332251082258,0.2015829613095239
