run_id,dataset,modality,task,model,seed,protocol_type,train_task,eval_task,task_type,metric,value,ci95_low,ci95_high,sample_count
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,3,cross_task,affective_task,picture_description,binary_classification,Brier Score,0.4194112237659926,0.31378085582458226,0.5313878634728247,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,4,cross_task,affective_task,picture_description,binary_classification,Macro-F1,0.45833333333333337,0.3035714285714286,0.5948051948051949,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,4,cross_task,affective_task,picture_description,binary_classification,Balanced Accuracy,0.47676161919040483,0.3269230769230769,0.6023356374807988,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,4,cross_task,affective_task,picture_description,binary_classification,AUROC,0.5397301349325337,0.3624116161616162,0.6800116543290855,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,4,cross_task,affective_task,picture_description,binary_classification,AUPRC,0.5173403326935024,0.348310685299694,0.7212209493811021,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,4,cross_task,affective_task,picture_description,binary_classification,ECE,0.43852283055958174,0.3302981067519003,0.5704941204320024,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,4,cross_task,affective_task,picture_description,binary_classification,Brier Score,0.4194112237659926,0.31378085582458226,0.5313878634728247,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,affective_task,reading,binary_classification,Macro-F1,0.5207373271889401,0.390625,0.634754565634144,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,affective_task,reading,binary_classification,Balanced Accuracy,0.5232383808095952,0.4093333333333334,0.6459374999999999,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,affective_task,reading,binary_classification,AUROC,0.5967016491754122,0.425015625,0.7681184495329233,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,affective_task,reading,binary_classification,AUPRC,0.5739378260067136,0.401506381339674,0.77402009634455,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,affective_task,reading,binary_classification,ECE,0.35052983922838965,0.23405894914865924,0.4711898247026112,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,affective_task,reading,binary_classification,Brier Score,0.3355647224740741,0.2255260966811608,0.4398245936307772,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,affective_task,reading,binary_classification,Macro-F1,0.5207373271889401,0.390625,0.634754565634144,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,affective_task,reading,binary_classification,Balanced Accuracy,0.5232383808095952,0.4093333333333334,0.6459374999999999,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,affective_task,reading,binary_classification,AUROC,0.5967016491754122,0.425015625,0.7681184495329233,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,affective_task,reading,binary_classification,AUPRC,0.5739378260067136,0.401506381339674,0.77402009634455,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,affective_task,reading,binary_classification,ECE,0.35052983922838965,0.23405894914865924,0.4711898247026112,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,affective_task,reading,binary_classification,Brier Score,0.3355647224740741,0.2255260966811608,0.4398245936307772,52
